1314,bxh,56,934
2352,bxh,99,1040
6892,bxh,59,981
11834,bxh,44,559
15191,bxh,78,1437
17158,bxh,54,85
20648,bxh,73,1004
21023,bxh,11,601
25364,bxh,40,653
25559,bxh,69,456
27754,bxh,62,933
32471,bxh,20,529
33373,bxh,84,1079
37128,bxh,47,835
38662,bxh,43,623
38807,bxh,91,527
40713,bxh,40,1194
43795,bxh,79,408
48194,bxh,92,1378
51906,bxh,23,1267
52206,bxh,15,934
55641,bxh,69,122
57421,bxh,23,787
60205,bxh,53,1010
62157,bxh,12,487
65753,bxh,67,544
68809,bxh,1,84
71531,bxh,75,219
76367,bxh,82,1482
76652,bxh,21,763
79780,bxh,47,1340
81155,bxh,92,730
84300,bxh,22,381
87521,bxh,56,1495
87575,bxh,98,1114
89543,bxh,34,636
93781,bxh,27,1388
98689,bxh,61,531
103630,bxh,36,1117
106982,bxh,67,562
109992,bxh,94,578
111942,bxh,34,79
116885,bxh,61,299
119253,bxh,39,1105
123971,bxh,53,1487
128125,bxh,72,145
131071,bxh,57,1354
133614,bxh,68,766
137788,bxh,99,1478
138339,bxh,85,737
143220,bxh,20,891
146511,bxh,64,27
151171,bxh,31,504
154690,bxh,98,1147
155614,bxh,68,780
159590,bxh,32,195
161731,bxh,52,1393
162575,bxh,1,576
167403,bxh,91,515
169946,bxh,9,539
174669,bxh,30,1058
175333,bxh,61,1330
175486,bxh,46,899
178172,bxh,42,1131
181819,bxh,35,668
185842,bxh,74,1401
189761,bxh,30,1149
194645,bxh,20,698
197126,bxh,82,496
199836,bxh,17,1131
203310,bxh,43,428
208114,bxh,97,615
211633,bxh,69,894
216467,bxh,75,1438
218352,bxh,47,1459
220689,bxh,6,1095
222112,bxh,67,1143
226834,bxh,1,1117
228312,bxh,66,476
230437,tfc,55,1307
232309,tfc,53,1196
234900,tfc,71,713
235120,tfc,45,336
237527,tfc,76,1426
238953,tfc,15,298
241035,tfc,59,1153
241809,tfc,72,536
246533,tfc,59,466
249039,tfc,90,324
252998,tfc,51,1341
254818,tfc,19,878
258075,tfc,52,1475
258323,tfc,81,755
261245,tfc,66,804
265476,tfc,61,743
266315,tfc,4,663
269057,tfc,16,991
270317,tfc,1,59
271226,tfc,90,421
274051,tfc,56,1376
274398,tfc,32,554
274586,tfc,62,1141
275739,tfc,41,1088
277561,tfc,37,718
282224,tfc,51,406
285166,tfc,19,312
287071,tfc,17,1056
287684,tfc,88,263
291538,tfc,97,260
293602,tfc,19,1328
298507,tfc,56,928
301977,tfc,68,35
306410,tfc,80,24
307116,tfc,76,1096
311084,tfc,18,1426
314125,tfc,38,650
316368,tfc,55,1111
318417,tfc,66,602
318862,tfc,99,1181
323081,tfc,75,1138
327140,tfc,33,576
329744,tfc,98,167
334487,tfc,32,59
338861,tfc,44,912
342497,tfc,56,1303
344931,tfc,83,176
348245,tfc,56,90
349856,tfc,99,399
352291,tfc,21,785
353173,tfc,62,235
355081,tfc,79,319
358310,tfc,9,649
359490,tfc,74,993
360816,tfc,56,63
361872,tfc,85,1300
363075,tfc,26,617
367316,tfc,52,1370
369907,tfc,68,843
373365,tfc,75,955
373772,tfc,20,695
378272,tfc,71,893
381914,tfc,37,411
382075,tfc,28,121
383840,tfc,68,308
387100,tfc,13,1075
387265,tfc,61,228
391414,tfc,59,409
391808,tfc,4,421
394082,tfc,90,608
397993,tfc,34,150
401913,tfc,33,1397
405715,tfc,16,1103
406965,tfc,19,1482
407852,tfc,12,559
409235,tfc,35,645
410187,tfc,42,582
411031,tfc,32,1330
411059,tfc,37,159
415588,tfc,78,733
